storage_nodes,rtt_us_effective,workload,concurrency,published_mbps,publish_p50_ms,publish_p99_ms,append_p99_ms,seconds
16,0,native-stream-publish-at-end-4m,32,6501.03,2088.7977960000003,2296.5203250000004,6.406985,2.642639
16,0,native-stream-publish-at-end-4m,64,6611.81,4111.986359,4585.98993,15.298879999999999,5.196720
16,0,native-stream-publish-at-end-32m,32,5212.33,2029.865256,2127.041473,109.596491,3.296003
16,0,native-stream-publish-at-end-32m,64,6099.91,3875.696316,4609.995140999999,182.714292,5.632827
16,0,native-stream-publish-interval-4m,32,6124.45,527.64647,590.5124129999999,8.88535,2.805131
16,0,native-stream-publish-interval-4m,64,6694.45,1031.582361,1183.938036,22.783238,5.132574
16,0,native-stream-publish-interval-32m,32,5617.93,500.936027,639.229117,98.46537699999999,3.058043
16,0,native-stream-publish-interval-32m,64,6304.26,1018.658167,1238.30258,188.723731,5.450242
16,200,native-stream-publish-at-end-4m,32,6403.46,2087.479642,2297.713101,7.133827,2.682904
16,200,native-stream-publish-at-end-4m,64,6543.69,4142.523351,4546.06905,15.591951,5.250824
16,200,native-stream-publish-at-end-32m,32,5237.51,2007.524905,2174.962087,102.19781,3.280158
16,200,native-stream-publish-at-end-32m,64,5918.96,3886.8237560000002,4545.017809999999,213.003317,5.805027
16,200,native-stream-publish-interval-4m,32,6385.48,501.879672,663.1701400000001,8.593997,2.690459
16,200,native-stream-publish-interval-4m,64,6615.28,1058.098432,1209.8440449999998,17.276729,5.193998
16,200,native-stream-publish-interval-32m,32,6013.20,366.45291,851.392936,100.07122500000001,2.857027
16,200,native-stream-publish-interval-32m,64,6042.76,1098.932235,1350.119956,195.614745,5.686104
16,3600,native-stream-publish-at-end-4m,32,5539.59,2146.350962,2294.385091,9.418109000000001,3.101289
16,3600,native-stream-publish-at-end-4m,64,6190.02,4066.186679,4397.650618,25.852681,5.550827
16,3600,native-stream-publish-at-end-32m,32,5213.78,2012.410048,2144.126429,97.27226300000001,3.295090
16,3600,native-stream-publish-at-end-32m,64,5953.14,4176.377262,4631.356132,196.736821,5.771704
16,3600,native-stream-publish-interval-4m,32,5714.31,529.03314,660.141344,10.280618,3.006465
16,3600,native-stream-publish-interval-4m,64,6358.94,1037.164789,1200.7483430000002,15.236908999999999,5.403377
16,3600,native-stream-publish-interval-32m,32,5438.98,544.217831,682.923569,98.09769299999999,3.158657
16,3600,native-stream-publish-interval-32m,64,6171.34,981.327856,1210.953301,146.051198,5.567630
16,700,native-stream-publish-at-end-4m,32,6305.11,2081.098996,2266.68852,6.945875,2.724754
16,700,native-stream-publish-at-end-4m,64,6408.84,4119.031161,4501.155825,26.447606,5.361302
16,700,native-stream-publish-at-end-32m,32,5165.14,1993.094809,2212.272307,111.409453,3.326120
16,700,native-stream-publish-at-end-32m,64,5838.34,4008.0698509999997,4632.046128,203.636163,5.885191
16,700,native-stream-publish-interval-4m,32,6179.35,543.744084,665.181081,8.619111,2.780207
16,700,native-stream-publish-interval-4m,64,6646.64,1031.393867,1215.811594,18.09492,5.169486
16,700,native-stream-publish-interval-32m,32,5207.33,499.766607,619.029671,97.279412,3.299173
16,700,native-stream-publish-interval-32m,64,6128.89,1045.5150529999999,1273.577912,200.14147200000002,5.606195
4,0,native-stream-publish-at-end-4m,32,6467.11,2287.424973,2302.133097,4.7067179999999995,2.656499
4,0,native-stream-publish-at-end-4m,64,6674.49,4102.571704,4565.255973,17.446257000000003,5.147921
4,0,native-stream-publish-at-end-32m,32,5249.34,1993.130963,2230.4201940000003,101.983465,3.272770
4,0,native-stream-publish-at-end-32m,64,6122.54,3902.700847,4638.433481,194.162059,5.612010
4,0,native-stream-publish-interval-4m,32,6366.24,510.41974,874.743957,8.59334,2.698589
4,0,native-stream-publish-interval-4m,64,6891.27,1009.169355,1861.446223,17.914692,4.985984
4,0,native-stream-publish-interval-32m,32,5467.12,536.749768,685.127278,97.386133,3.142396
4,0,native-stream-publish-interval-32m,64,6183.14,1048.153356,1206.0903640000001,167.60354199999998,5.557008
4,200,native-stream-publish-at-end-4m,32,6385.69,2276.089413,2286.512217,5.154745,2.690369
4,200,native-stream-publish-at-end-4m,64,6553.80,4442.820438,4540.4891370000005,13.582911,5.242719
4,200,native-stream-publish-at-end-32m,32,5176.73,1980.403437,2093.197854,96.925554,3.318674
4,200,native-stream-publish-at-end-32m,64,6128.14,3906.839998,4552.693576000001,200.702912,5.606875
4,200,native-stream-publish-interval-4m,32,6275.93,525.401438,630.345645,8.931438,2.737421
4,200,native-stream-publish-interval-4m,64,6542.40,1060.158419,1177.224738,16.564356,5.251854
4,200,native-stream-publish-interval-32m,32,5829.76,487.727478,755.249125,98.267567,2.946924
4,200,native-stream-publish-interval-32m,64,6236.91,1047.857498,1306.159963,188.109908,5.509092
4,3600,native-stream-publish-at-end-4m,32,5549.57,2292.4089679999997,2304.6259019999998,7.924310999999999,3.095712
4,3600,native-stream-publish-at-end-4m,64,6299.47,4481.833019999999,4569.426951,9.891741,5.454389
4,3600,native-stream-publish-at-end-32m,32,5343.89,1956.238783,2071.805686,99.478934,3.214859
4,3600,native-stream-publish-at-end-32m,64,6106.56,3889.4235320000003,4680.674155000001,156.20060999999998,5.626694
4,3600,native-stream-publish-interval-4m,32,5723.07,494.33045899999996,714.1945010000001,10.569652,3.001860
4,3600,native-stream-publish-interval-4m,64,6304.08,1044.343944,1183.9949339999998,16.018135,5.450399
4,3600,native-stream-publish-interval-32m,32,5634.43,471.370869,646.237882,99.24975900000001,3.049085
4,3600,native-stream-publish-interval-32m,64,6225.75,965.565848,1225.358605,145.404166,5.518971
4,700,native-stream-publish-at-end-4m,32,6192.77,2098.021136,2323.3580890000003,7.858854999999999,2.774181
4,700,native-stream-publish-at-end-4m,64,6575.47,4033.133068,4558.746846,20.828955,5.225442
4,700,native-stream-publish-at-end-32m,32,5126.94,2056.674591,2207.025861,104.970697,3.350900
4,700,native-stream-publish-at-end-32m,64,6058.10,3922.315835,4621.5787390000005,172.361277,5.671705
4,700,native-stream-publish-interval-4m,32,6267.23,532.050043,656.6861729999999,8.923351,2.741223
4,700,native-stream-publish-interval-4m,64,6747.59,1063.3091880000002,1247.2897320000002,20.880011999999997,5.092148
4,700,native-stream-publish-interval-32m,32,5430.22,515.2667260000001,843.398725,99.061698,3.163750
4,700,native-stream-publish-interval-32m,64,6179.87,1025.341745,1258.858967,211.69140900000002,5.559942
